impl,n,P,time_s,speedup,efficiency
pthreads,12800000,2,0.4079722705000677,2.3018352081022857,1.1509176040511429
pthreads,12800000,3,0.29817452583332243,3.1494472357824006,1.0498157452608001
pthreads,12800000,4,0.25946536766696227,3.619307442108618,0.9048268605271546
pthreads,12800000,5,0.24035311000049356,3.907105409056521,0.7814210818113042
pthreads,12800000,6,0.23231866166679538,4.042227729055078,0.6737046215091796
pthreads,12800000,7,0.27946448233403015,3.360301560768797,0.48004308010982816
pthreads,12800000,8,0.2738238215003245,3.4295224243861937,0.4286903030482742
pthreads,12800000,9,0.2708890306663913,3.466677605425076,0.38518640060278625
pthreads,12800000,10,0.27756133400028676,3.383342062210708,0.3383342062210708
pthreads,12800000,11,0.2913185548331967,3.2235671933227428,0.29305156302934027
pthreads,12800000,12,0.28894136716644425,3.2500882285419754,0.2708406857118313
pthreads,25600000,1,1.5315899854998254,1.2371250609531774,1.2371250609531774
pthreads,25600000,2,0.8133776906661296,2.329506176417249,1.1647530882086246
pthreads,25600000,3,0.5962609601665463,3.1777501475822016,1.0592500491940673
pthreads,25600000,4,0.5147898081668245,3.6806640770804124,0.9201660192701031
pthreads,25600000,5,0.49080041533337254,3.8605679518012233,0.7721135903602446
pthreads,25600000,6,0.46481316266635986,4.076408558005491,0.6794014263342486
pthreads,25600000,7,0.5501472789998539,3.444111107140913,0.4920158724487019
pthreads,25600000,8,0.5261904503334639,3.6009174111122157,0.45011467638902697
pthreads,25600000,9,0.5415660983332297,3.4986834663363338,0.38874260737070376
pthreads,25600000,10,0.5758606525002202,3.290324396952999,0.3290324396952999
pthreads,25600000,11,0.589160993500324,3.2160451473705813,0.29236774067005283
pthreads,25600000,12,0.6098828241665615,3.1067744148329695,0.25889786790274744
pthreads,51200000,1,3.047653130999606,1.2256866449698474,1.2256866449698474
pthreads,51200000,2,1.6349443103335943,2.28476757132148,1.14238378566074
pthreads,51200000,3,1.1977207953335285,3.118813462804196,1.0396044876013988
pthreads,51200000,4,1.0601208736664678,3.5236243658211377,0.8809060914552844
pthreads,51200000,5,0.971138381499865,3.8464834799316163,0.7692966959863232
pthreads,51200000,6,0.9536055210000995,3.9172043983650218,0.6528673997275036
pthreads,51200000,7,0.9223020838332255,4.050156458111419,0.5785937797302028
pthreads,51200000,8,1.0565178374996929,3.535640959935846,0.4419551199919807
pthreads,51200000,9,1.086053320166381,3.4394883490568335,0.38216537211742596
pthreads,51200000,10,1.1929578200000226,3.1312655640806204,0.31312655640806203
pthreads,51200000,11,1.1956527048335677,3.1242079962397837,0.28401890874907126
pthreads,51200000,12,1.220517783666158,3.0605598633280557,0.255046655277338
pthreads,66400000,1,3.9564218361665553,1.2810293797127708,1.2810293797127708
pthreads,66400000,2,2.1131028038331956,2.3985073520666176,1.1992536760333088
pthreads,66400000,3,1.5508740293331964,3.2680233950694455,1.0893411316898152
pthreads,66400000,4,1.3550750628334451,3.740230153795884,0.935057538448971
pthreads,66400000,5,1.2572850491663605,4.031140443471448,0.8062280886942895
pthreads,66400000,6,1.1834396623335124,4.282679355762691,0.7137798926271152
pthreads,66400000,7,1.2513085540003885,4.050393961156386,0.5786277087366266
pthreads,66400000,8,1.3685594653334192,3.7033777041114733,0.46292221301393416
pthreads,66400000,9,1.41876887766648,3.5723173030145525,0.39692414477939475
pthreads,66400000,10,1.5318104083332098,3.308694459245386,0.3308694459245386
pthreads,66400000,11,1.5732747780002683,3.221492317514061,0.2928629379558237
pthreads,66400000,12,1.5915786006674655,3.1844438022357155,0.2653703168529763
mpi,100000,1,0.3172171760006677,0.02848435924605876,0.02848435924605876
mpi,100000,2,0.32125164533348044,0.028126635712148913,0.014063317856074457
mpi,100000,3,0.3231856309997359,0.027958322194809,0.009319440731603
mpi,100000,4,0.3252929215001738,0.027777204491732044,0.006944301122933011
mpi,100000,5,0.3286901836663674,0.02749010603065306,0.005498021206130612
mpi,100000,6,0.333666495333091,0.027080117802067972,0.004513352967011329
mpi,100000,7,0.3386245626670643,0.02668361659608017,0.003811945228011453
mpi,100000,8,0.3428399930001736,0.02635552498164557,0.003294440622705696
mpi,100000,9,0.3480969121668143,0.025957506902253655,0.0028841674335837396
mpi,100000,10,0.3503600496666574,0.02578983536741737,0.002578983536741737
mpi,100000,11,0.38595049299965467,0.0234116244547234,0.0021283294958839454
mpi,100000,12,0.3873684561664656,0.023325926147017773,0.0019438271789181478
mpi,200000,1,0.32459875299991836,0.05285831304435174,0.05285831304435174
mpi,200000,2,0.32323735049976676,0.05308094028535936,0.02654047014267968
mpi,200000,3,0.3231943263326684,0.05308800650855235,0.01769600216951745
mpi,200000,4,0.32677127316643845,0.05250688756577672,0.01312672189144418
mpi,200000,5,0.3293858325002172,0.05209010469466558,0.010418020938933115
mpi,200000,6,0.3352912050007338,0.051172659002010935,0.008528776500335155
mpi,200000,7,0.34054291966670763,0.05038349502808142,0.007197642146868774
mpi,200000,8,0.3437319613337119,0.0499160521276586,0.006239506515957325
mpi,200000,9,0.3464147078332947,0.04952948622531559,0.005503276247257288
mpi,200000,10,0.3532692011670709,0.04856846405855097,0.004856846405855097
mpi,200000,11,0.38051985466639354,0.04509026871914029,0.004099115338103663
mpi,200000,12,0.3939431836667306,0.043553850431363374,0.0036294875359469477
mpi,400000,1,0.33526475233338715,0.0929693352777197,0.0929693352777197
mpi,400000,2,0.3272630393333505,0.095242472935464,0.047621236467732
mpi,400000,3,0.327350011833308,0.09521716829005727,0.03173905609668576
mpi,400000,4,0.3290940686668667,0.09471255830513382,0.023678139576283456
mpi,400000,5,0.3305575344996517,0.09429324070214823,0.018858648140429646
mpi,400000,6,0.3338931411666029,0.09335124722113336,0.015558541203522227
mpi,400000,7,0.3406055949999427,0.09151153599367494,0.013073076570524991
mpi,400000,8,0.34395158866664133,0.09062130309476117,0.011327662886845146
mpi,400000,9,0.3499269141663414,0.08907386058240623,0.009897095620267358
mpi,400000,10,0.3513001656668469,0.08872566600507543,0.008872566600507543
mpi,400000,11,0.3798228663339008,0.08206283488757489,0.007460257717052263
mpi,400000,12,0.3899625180001749,0.07992906940474301,0.006660755783728584
mpi,800000,1,0.35993293733342097,0.1661480777788823,0.1661480777788823
mpi,800000,2,0.33784496266677405,0.17701067730951886,0.08850533865475943
mpi,800000,3,0.3352252205001302,0.1783939930833204,0.059464664361106805
mpi,800000,4,0.3331591070000286,0.17950031804848623,0.04487507951212156
mpi,800000,5,0.3518342868331577,0.1699725350975057,0.033994507019501144
mpi,800000,6,0.33791880683353764,0.17697199581056158,0.0294953326350936
mpi,800000,7,0.34333780966699123,0.17417879413064893,0.02488268487580699
mpi,800000,8,0.34729599633283215,0.17219365123329325,0.021524206404161656
mpi,800000,9,0.3519752556661236,0.16990445977254118,0.01887827330806013
mpi,800000,10,0.3579196218333891,0.1670826688990317,0.01670826688990317
mpi,800000,11,0.379230895332815,0.1576932850230256,0.014335753183911419
mpi,800000,12,0.38922238000001624,0.15364523917471626,0.012803769931226354
mpi,1600000,1,0.4071507153330458,0.2898333521773,0.2898333521773
mpi,1600000,2,0.36265265816685616,0.3253963648380812,0.1626981824190406
mpi,1600000,3,0.35098565833322937,0.33621275930974454,0.11207091976991485
mpi,1600000,4,0.347952160166642,0.3391439116510921,0.08478597791277302
mpi,1600000,5,0.3465645454998594,0.3405018147374517,0.06810036294749035
mpi,1600000,6,0.35460004333375156,0.332785793134533,0.055464298855755496
mpi,1600000,7,0.3489722371668904,0.33815256372365193,0.048307509103378846
mpi,1600000,8,0.3506609446667426,0.3365240938893592,0.0420655117361699
mpi,1600000,9,0.35732953500003833,0.330243780901989,0.036693753433554334
mpi,1600000,10,0.3624476366664264,0.3255804279804625,0.03255804279804625
mpi,1600000,11,0.3919298251666987,0.3010892488627807,0.027371749896616428
mpi,1600000,12,0.401295105666577,0.29406253652246006,0.02450521137687167
mpi,3200000,1,0.5059606098332855,0.46734521371364296,0.46734521371364296
mpi,3200000,2,0.41509766700013034,0.5696449007822241,0.28482245039111204
mpi,3200000,3,0.38636469233309373,0.6120079655968302,0.20400265519894342
mpi,3200000,4,0.3702653606669628,0.6386183922451919,0.15965459806129798
mpi,3200000,5,0.36592001716720307,0.6462020612148555,0.1292404122429711
mpi,3200000,6,0.36653136783267354,0.6451242378828769,0.10752070631381282
mpi,3200000,7,0.3674920828325412,0.6434377239113781,0.09191967484448259
mpi,3200000,8,0.3703685958347099,0.6384403861248263,0.07980504826560329
mpi,3200000,9,0.3693186285005747,0.6402554625885978,0.07113949584317752
mpi,3200000,10,0.37524458883369033,0.6301443814770665,0.06301443814770666
mpi,3200000,11,0.4048271679991255,0.5840968394041497,0.05309971267310452
mpi,3200000,12,0.4072826091663349,0.5805754137580963,0.04838128447984136
mpi,6400000,1,0.6885138471673903,0.6825613477976429,0.6825613477976429
mpi,6400000,2,0.5067985681659289,0.9272972913097275,0.46364864565486374
mpi,6400000,3,0.4466264665000684,1.0522281475673414,0.3507427158557805
mpi,6400000,4,0.42020292433395906,1.1183952140381013,0.2795988035095253
mpi,6400000,5,0.4062179705009233,1.1568984476988962,0.23137968953977922
mpi,6400000,6,0.4060094916676462,1.1574924949897751,0.1929154158316292
mpi,6400000,7,0.4004325524989933,1.1736132254160223,0.1676590322022889
mpi,6400000,8,0.39925043866605847,1.177088098062161,0.14713601225777012
mpi,6400000,9,0.39926629866749863,1.1770413407500793,0.13078237119445324
mpi,6400000,10,0.3985295303324771,1.1792173571375035,0.11792173571375035
mpi,6400000,11,0.42803722299989505,1.0979254005206678,0.09981140004733344
mpi,6400000,12,0.43527850716661004,1.0796603364567963,0.08997169470473303
mpi,12800000,1,1.0706412283343525,0.8771238313206605,0.8771238313206605
mpi,12800000,2,0.6993053415001972,1.3428825442000725,0.6714412721000362
mpi,12800000,3,0.5758930630011795,1.6306585310692692,0.5435528436897564
mpi,12800000,4,0.5148745495007461,1.8239101875924528,0.4559775468981132
mpi,12800000,5,0.48881933983345033,1.9211288499478125,0.3842257699895625
mpi,12800000,6,0.47733959900021244,1.9673308858795673,0.3278884809799279
mpi,12800000,7,0.46471224183369486,2.0207880310210395,0.2886840044315771
mpi,12800000,8,0.46193197799948393,2.032950695973541,0.25411883699669263
mpi,12800000,9,0.4587714691660949,2.0469558359273132,0.227439537325257
mpi,12800000,10,0.45453008349916973,2.066056725964104,0.2066056725964104
mpi,12800000,11,0.4718474195008942,1.9902300984496657,0.1809300089499696
mpi,12800000,12,0.4806706121659469,1.953697422721311,0.16280811856010927
mpi,25600000,1,1.8212405236669535,1.0403723887890164,1.0403723887890164
mpi,25600000,2,1.0826008366675524,1.7502003416136263,0.8751001708068131
mpi,25600000,3,0.8325403810007023,2.2758876294856254,0.7586292098285418
mpi,25600000,4,0.7165707880000506,2.644216574129469,0.6610541435323672
mpi,25600000,5,0.6486159750002116,2.921248361430089,0.5842496722860178
mpi,25600000,6,0.635755307666841,2.9803421714564364,0.4967236952427394
mpi,25600000,7,0.6025381578335024,3.14464458314078,0.4492349404486829
mpi,25600000,8,0.5796932201659123,3.2685708375620672,0.4085713546952584
mpi,25600000,9,0.5633670683334154,3.3632927103317547,0.37369919003686164
mpi,25600000,10,0.5484665765003834,3.4546651251873013,0.3454665125187301
