N,P,I,time,speedup,efficiency
128,5,150,0.0117129675,1.1409388782133991,0.22818777564267984
128,6,150,0.013353765,1.000749975755901,0.16679166262598352
128,7,150,0.0160847925,0.8308332233692166,0.11869046048131666
128,8,150,0.01665628,0.8023268100680345,0.10029085125850432
128,9,150,0.0180043575,0.7422525352543128,0.08247250391714586
128,10,150,0.01957178,0.682808615261361,0.0682808615261361
128,11,150,0.02095473,0.637745272785667,0.05797684298051518
128,12,150,0.0226527475,0.5899408007792433,0.04916173339827027
128,1,170,0.0146792525,1.0,1.0
128,2,170,0.012283025,1.1950844763403152,0.5975422381701576
128,3,170,0.012324395,1.191072868079934,0.397024289359978
128,4,170,0.013100802500000001,1.1204849855571823,0.2801212463892956
128,5,170,0.01306498,1.1235572117217172,0.22471144234434343
128,6,170,0.01691824,0.8676583675370487,0.14460972792284146
128,7,170,0.01741004,0.8431486946612413,0.12044981352303448
128,8,170,0.0190762875,0.769502582722136,0.096187822840267
128,9,170,0.02193552,0.6692001146998111,0.07435556829997901
128,10,170,0.0269050575,0.5455945411006834,0.05455945411006834
128,11,170,0.025094507500000002,0.5849587803227458,0.05317807093843144
128,12,170,0.027838945,0.5272919825086763,0.04394099854238969
128,1,190,0.0165113225,1.0,1.0
128,2,190,0.01345825,1.2268550888859995,0.6134275444429997
128,3,190,0.013145505,1.2560432254219218,0.4186810751406406
128,4,190,0.013655245,1.209156078854682,0.3022890197136705
128,5,190,0.0152626625,1.0818114139652897,0.21636228279305794
128,6,190,0.01841253,0.8967438206482217,0.1494573034413703
128,7,190,0.0203291775,0.8121982554385194,0.11602832220550277
128,8,190,0.021543025,0.7664347277134943,0.09580434096418679
128,9,190,0.0230638975,0.7158947224769795,0.07954385805299773
128,10,190,0.025250969999999998,0.6538886426937264,0.06538886426937264
128,11,190,0.0267111675,0.6181430482213105,0.056194822565573684
128,12,190,0.0283719875,0.5819586132272193,0.048496551102268276
192,1,10,0.00246924175,1.0,1.0
192,2,10,0.0017024875,1.4503729102269474,0.7251864551134737
192,3,10,0.00132471325,1.8639820731014807,0.6213273577004935
192,4,10,0.00143605475,1.7194621235715422,0.42986553089288554
192,5,10,0.001509249,1.6360731396873545,0.3272146279374709
192,6,10,0.00168049325,1.4693553514719562,0.24489255857865935
192,7,10,0.001816988,1.358975265659432,0.19413932366563316
192,8,10,0.00194376725,1.2703381796354476,0.15879227245443095
192,9,10,0.00218999375,1.127510866183979,0.12527898513155322
192,10,10,0.00218063575,1.1323494765230737,0.11323494765230738
192,11,10,0.0025479195,0.9691207865868605,0.0881018896897146
192,12,10,0.00239723925,1.0300355919835702,0.08583629933196418
192,1,30,0.00633126475,1.0,1.0
192,2,30,0.00415146325,1.5250682394936292,0.7625341197468146
192,3,30,0.0037049055,1.7088869743101411,0.5696289914367137
192,4,30,0.00352174025,1.7977659624385984,0.4494414906096496
192,5,30,0.003847718,1.6454596594656885,0.3290919318931377
192,6,30,0.004081726,1.5511243895352114,0.2585207315892019
192,7,30,0.00496429225,1.2753610043808359,0.18219442919726228
192,8,30,0.0051892995,1.2200615420250844,0.15250769275313555
192,9,30,0.00522840025,1.2109372747428815,0.1345485860825424
192,10,30,0.00529909175,1.1947830022003298,0.11947830022003299
192,11,30,0.00573349025,1.1042601406708592,0.10038728551553265
192,12,30,0.0059927702499999996,1.0564838106383272,0.08804031755319393
192,1,50,0.010099707999999999,1.0,1.0
192,2,50,0.0066789985,1.512159046000684,0.756079523000342
192,3,50,0.0056440235,1.7894517979948168,0.5964839326649389
192,4,50,0.0055127145,1.8320752870477872,0.4580188217619468
192,5,50,0.00545471925,1.851554138189605,0.370310827637921
192,6,50,0.005999148,1.6835237270359056,0.2805872878393176
192,7,50,0.007807255,1.2936311161861627,0.1848044451694518
192,8,50,0.008211970249999999,1.2298763503192185,0.1537345437899023
192,9,50,0.00821578475,1.229305332031733,0.13658948133685922
192,10,50,0.008903860999999999,1.1343065665557897,0.11343065665557897
192,11,50,0.0088312625,1.143631275822681,0.10396647962024373
192,12,50,0.00965744225,1.0457953295035234,0.08714961079196028
192,1,70,0.014102995,1.0,1.0
192,2,70,0.00933337175,1.5110289590683024,0.7555144795341512
192,3,70,0.00780373825,1.8072101534158966,0.6024033844719655
192,4,70,0.0074028375,1.905079640070446,0.4762699100176115
192,5,70,0.0079557895,1.77267070728807,0.354534141457614
192,6,70,0.00880050675,1.6025207866581093,0.2670867977763515
192,7,70,0.0105093125,1.3419521971584727,0.19170745673692466
192,8,70,0.0110675075,1.2742702004042012,0.15928377505052516
192,9,70,0.0110824125,1.2725564041222974,0.1413951560135886
192,10,70,0.0118601925,1.1891033809105545,0.11891033809105545
192,11,70,0.0119265275,1.1824896223984727,0.10749905658167934
192,12,70,0.012522337500000001,1.1262270322932917,0.09385225269110764
192,1,90,0.0178282825,1.0,1.0
192,2,90,0.0117020025,1.523524072055189,0.7617620360275945
192,3,90,0.0095639825,1.8641065581205318,0.6213688527068439
192,4,90,0.00912922625,1.9528799058956392,0.4882199764739098
192,5,90,0.0099227435,1.7967089948460324,0.3593417989692065
192,6,90,0.01035952725,1.7209552202297649,0.28682587003829413
192,7,90,0.0133667,1.3337833945551258,0.19054048493644654
192,8,90,0.01423329,1.2525763544479176,0.1565720443059897
192,9,90,0.013997019999999999,1.273719870372408,0.14152443004137866
192,10,90,0.014661015,1.2160333032876647,0.12160333032876647
192,11,90,0.015454292500000001,1.1536136319407697,0.10487396654006997
192,12,90,0.0157224525,1.1339377555759829,0.09449481296466523
192,1,110,0.021712245,1.0,1.0
192,2,110,0.0144885775,1.4985767236293557,0.7492883618146778
192,3,110,0.01194924,1.8170398284744471,0.6056799428248157
192,4,110,0.0113022925,1.9210478759065917,0.4802619689766479
192,5,110,0.01183021,1.8353220272505728,0.36706440545011454
192,6,110,0.012684225,1.7117518019429647,0.28529196699049414
192,7,110,0.0164126775,1.3228947562029414,0.18898496517184876
192,8,110,0.0173274875,1.2530521231078657,0.15663151538848322
192,9,110,0.01851183,1.1728848525510445,0.13032053917233827
192,10,110,0.017906665,1.2125231024314134,0.12125231024314134
192,11,110,0.0182831875,1.1875524987095387,0.10795931806450353
192,12,110,0.019756495,1.0989927616209254,0.09158273013507712
192,1,130,0.02559823,1.0,1.0
192,2,130,0.01653546,1.5480809121729908,0.7740404560864954
192,3,130,0.014223815,1.7996739974472389,0.599891332482413
192,4,130,0.013221562499999999,1.9360971897232269,0.4840242974308067
192,5,130,0.013919052500000001,1.8390784861254024,0.36781569722508045
192,6,130,0.0152335175,1.6803886561327677,0.2800647760221279
192,7,130,0.0195784575,1.3074691915846792,0.1867813130835256
192,8,130,0.0204242475,1.2533254897151045,0.15666568621438806
192,9,130,0.0202827425,1.2620694661976801,0.14022994068863112
192,10,130,0.0210189825,1.217862472648236,0.12178624726482361
192,11,130,0.02193594,1.1669538665769508,0.10608671514335916
192,12,130,0.0245412025,1.043071544680828,0.08692262872340234
192,1,150,0.0292544975,1.0,1.0
192,2,150,0.01974696,1.4814684133659053,0.7407342066829526
192,3,150,0.016540047500000002,1.768706982250202,0.5895689940834007
192,4,150,0.01554394,1.8820516226902575,0.4705129056725644
192,5,150,0.0157697775,1.8550989384599754,0.37101978769199506
192,6,150,0.018401565,1.5897831244244713,0.26496385407074524
192,7,150,0.0226007675,1.2944028338860616,0.18491469055515167
192,8,150,0.0236102925,1.2390569705987335,0.1548821213248417
192,9,150,0.0231280325,1.264893479374002,0.14054371993044468
192,10,150,0.02361673,1.2387192257353157,0.12387192257353156
192,11,150,0.0254641775,1.1488491038047468,0.10444082761861334
192,12,150,0.0272278175,1.0744341701276645,0.08953618084397204
192,1,170,0.033634545,1.0,1.0
192,2,170,0.02182752,1.540923797114835,0.7704618985574175
192,3,170,0.018575785,1.8106661441225769,0.6035553813741923
192,4,170,0.0177505025,1.894850300716839,0.4737125751792097
192,5,170,0.0179252625,1.8763767057804592,0.37527534115609185
192,6,170,0.02137804,1.5733222035322227,0.26222036725537046
192,7,170,0.025176999999999998,1.3359234618898204,0.1908462088414029
192,8,170,0.0271187425,1.2402693450848616,0.1550336681356077
192,9,170,0.029130045,1.1546341586496005,0.12829268429440005
192,10,170,0.0275220275,1.2220954651687634,0.12220954651687635
192,11,170,0.029993952499999997,1.1213775510246609,0.10194341372951463
