size,N,threads,iterations,time,speedup,efficiency
256x256,256,1,30,0.010408042499999999,1.0,1.0
256x256,256,2,30,0.006204486,1.6775027778288158,0.8387513889144079
256x256,256,3,30,0.0048087835,2.1643815946382277,0.7214605315460759
256x256,256,4,30,0.00449419,2.315888402582,0.5789721006455
256x256,256,5,30,0.00460279,2.261246439659424,0.4522492879318848
256x256,256,6,30,0.0044810175,2.322696240307028,0.38711604005117134
256x256,256,7,30,0.00525254,1.9815256047550327,0.2830750863935761
256x256,256,8,30,0.00640463825,1.6250789027779984,0.2031348628472498
256x256,256,9,30,0.00574952375,1.810244283276506,0.20113825369738955
256x256,256,10,30,0.006380081,1.6313339125318314,0.16313339125318313
256x256,256,11,30,0.00700706225,1.4853646405096512,0.13503314913724102
256x256,256,12,30,0.00623226175,1.6700265357115336,0.13916887797596114
128x128,128,1,50,0.004392028,1.0,1.0
128x128,128,2,50,0.003431797,1.279804137599048,0.639902068799524
128x128,128,3,50,0.0032870175,1.3361742065565516,0.4453914021855172
128x128,128,4,50,0.00390070675,1.1259569820263982,0.28148924550659954
128x128,128,5,50,0.004023969,1.0914666589131279,0.21829333178262558
128x128,128,6,50,0.0049862265,0.8808320279874973,0.1468053379979162
128x128,128,7,50,0.00547373275,0.8023826154099322,0.1146260879157046
128x128,128,8,50,0.005899489,0.7444760046166711,0.09305950057708388
128x128,128,9,50,0.00640672475,0.6855340554469739,0.07617045060521932
128x128,128,10,50,0.0068664550000000005,0.6396354450731855,0.06396354450731855
128x128,128,11,50,0.0073292850000000005,0.5992437188620717,0.054476701714733795
128x128,128,12,50,0.007668554750000001,0.5727321696438302,0.04772768080365252
192x192,192,1,50,0.00955921425,1.0,1.0
192x192,192,2,50,0.0062147975,1.5381376867066063,0.7690688433533032
192x192,192,3,50,0.00529021025,1.8069630124814038,0.602321004160468
192x192,192,4,50,0.0052173735,1.8321889835949066,0.45804724589872664
192x192,192,5,50,0.0051146745,1.8689780258743738,0.37379560517487476
192x192,192,6,50,0.0059314965,1.6116024429922533,0.26860040716537553
192x192,192,7,50,0.007121205,1.3423590881037688,0.1917655840148241
192x192,192,8,50,0.00750100625,1.2743909192183382,0.15929886490229228
192x192,192,9,50,0.00773328525,1.2361129766938312,0.13734588629931457
192x192,192,10,50,0.00770097975,1.2412984529663256,0.12412984529663255
192x192,192,11,50,0.008379042,1.140848112469182,0.10371346476992564
192x192,192,12,50,0.00870353,1.0983146206194498,0.09152621838495416
256x256,256,1,50,0.017002524999999998,1.0,1.0
256x256,256,2,50,0.01008749,1.685506007936563,0.8427530039682815
256x256,256,3,50,0.007864773,2.1618583269981215,0.7206194423327071
256x256,256,4,50,0.00697052475,2.43920301696081,0.6098007542402025
256x256,256,5,50,0.00700777775,2.4262363343358024,0.48524726686716046
256x256,256,6,50,0.0071994065,2.3616564782110854,0.3936094130351809
256x256,256,7,50,0.008148253,2.086646671378515,0.29809238162550217
256x256,256,8,50,0.00882220275,1.9272426038950414,0.24090532548688018
256x256,256,9,50,0.00906169425,1.8763075128031381,0.20847861253368202
256x256,256,10,50,0.0094839335,1.7927714275938351,0.1792771427593835
256x256,256,11,50,0.0094125865,1.8063605577489246,0.16421459615899314
256x256,256,12,50,0.009498178999999999,1.790082604254984,0.149173550354582
128x128,128,1,70,0.0060251952499999996,1.0,1.0
128x128,128,2,70,0.00455975525,1.3213856708646805,0.6606928354323403
128x128,128,3,70,0.004651308,1.2953765370945118,0.43179217903150396
128x128,128,4,70,0.00500059125,1.2048965709804813,0.3012241427451203
128x128,128,5,70,0.00577718,1.0429301579663435,0.2085860315932687
128x128,128,6,70,0.00657832625,0.9159161496436878,0.15265269160728132
128x128,128,7,70,0.0071765184999999995,0.8395707821278521,0.11993868316112173
128x128,128,8,70,0.0076757075,0.7849693660160968,0.0981211707520121
128x128,128,9,70,0.008535266,0.705917689032773,0.07843529878141922
128x128,128,10,70,0.009145856,0.6587896474643816,0.06587896474643816
128x128,128,11,70,0.009803176,0.6146166558674453,0.055874241442495025
128x128,128,12,70,0.0103285295,0.5833546053191793,0.048612883776598274
192x192,192,1,70,0.012964070000000001,1.0,1.0
192x192,192,2,70,0.008567035,1.5132505003189551,0.7566252501594776
192x192,192,3,70,0.0071737765,1.8071471839135218,0.6023823946378406
192x192,192,4,70,0.006826222,1.8991573962874342,0.47478934907185855
192x192,192,5,70,0.007327974,1.769120632797005,0.353824126559401
192x192,192,6,70,0.008050739749999999,1.61029550110597,0.2683825835176617
192x192,192,7,70,0.00981545475,1.3207813932411028,0.18868305617730038
192x192,192,8,70,0.01029926525,1.2587373647843472,0.1573421705980434
192x192,192,9,70,0.010569275,1.2265808203495512,0.1362867578166168
192x192,192,10,70,0.0106946825,1.212197744065801,0.12121977440658009
192x192,192,11,70,0.0110557675,1.1726069673588921,0.10660063339626293
192x192,192,12,70,0.0119616975,1.0837985160551,0.09031654300459167
256x256,256,1,70,0.0233306875,1.0,1.0
256x256,256,2,70,0.014111757499999999,1.6532800751430148,0.8266400375715074
256x256,256,3,70,0.010679545,2.184614372616062,0.7282047908720206
256x256,256,4,70,0.009682536,2.409563723801285,0.6023909309503213
256x256,256,5,70,0.00926905875,2.51705034235542,0.5034100684710839
256x256,256,6,70,0.0099358565,2.3481304807491936,0.3913550801248656
