n,p,a,b,answer,time_seconds,speedup,efficiency
500000000,9,10.0,20.0,2333.333333333547,0.122165,8.265305120124422,0.9183672355693803
500000000,10,10.0,20.0,2333.333333333525,0.112742,8.956121055152472,0.8956121055152473
500000000,11,10.0,20.0,2333.333333333365,0.105642,9.558045095700573,0.8689131905182339
500000000,12,10.0,20.0,2333.333333333361,0.100013,10.095997520322356,0.8413331266935297
700000000,1,10.0,20.0,2333.33333333306,1.415073,1.0,1.0
700000000,2,10.0,20.0,2333.333333333097,0.709563,1.9942880336206932,0.9971440168103466
700000000,3,10.0,20.0,2333.333333333285,0.474112,2.9846808349082075,0.9948936116360692
700000000,4,10.0,20.0,2333.333333333377,0.356447,3.9699394299853834,0.9924848574963459
700000000,5,10.0,20.0,2333.333333333491,0.289086,4.8949897262406346,0.9789979452481269
700000000,6,10.0,20.0,2333.333333333524,0.242346,5.839060681835062,0.9731767803058436
700000000,7,10.0,20.0,2333.33333333335,0.222491,6.36013591561007,0.9085908450871528
700000000,8,10.0,20.0,2333.333333333348,0.194692,7.268264746368623,0.9085330932960779
700000000,9,10.0,20.0,2333.333333333223,0.172617,8.197761518274563,0.9108623909193958
700000000,10,10.0,20.0,2333.333333333336,0.156307,9.053164605551896,0.9053164605551896
700000000,11,10.0,20.0,2333.333333333467,0.148927,9.501789467322917,0.8637990424839015
700000000,12,10.0,20.0,2333.33333333348,0.139309,10.157800285695828,0.846483357141319
900000000,1,10.0,20.0,2333.333333333465,1.825718,1.0,1.0
900000000,2,10.0,20.0,2333.333333333243,0.927187,1.969093613262481,0.9845468066312405
900000000,3,10.0,20.0,2333.333333333435,0.607849,3.003571610712529,1.0011905369041763
900000000,4,10.0,20.0,2333.333333333201,0.457964,3.9865971997798955,0.9966492999449739
900000000,5,10.0,20.0,2333.333333333272,0.367564,4.967075121611474,0.9934150243222948
900000000,6,10.0,20.0,2333.333333333306,0.313833,5.817482546449864,0.9695804244083107
900000000,7,10.0,20.0,2333.333333333305,0.278625,6.552599371915657,0.9360856245593796
900000000,8,10.0,20.0,2333.333333333219,0.250413,7.290827552882638,0.9113534441103297
900000000,9,10.0,20.0,2333.333333333368,0.235637,7.748010711390825,0.8608900790434251
900000000,10,10.0,20.0,2333.333333333316,0.207975,8.778545498257001,0.8778545498257001
900000000,11,10.0,20.0,2333.333333333276,0.192235,9.497323588316384,0.8633930534833076
900000000,12,10.0,20.0,2333.333333333323,0.176643,10.335637415578313,0.8613031179648595
1100000000,1,10.0,20.0,2333.33333333342,2.224113,1.0,1.0
1100000000,2,10.0,20.0,2333.333333333544,1.115539,1.9937563814443062,0.9968781907221531
1100000000,3,10.0,20.0,2333.333333333398,0.847318,2.6248858161870747,0.874961938729025
1100000000,4,10.0,20.0,2333.333333333478,0.558494,3.982340007233739,0.9955850018084348
1100000000,5,10.0,20.0,2333.333333333438,0.451541,4.925605869677393,0.9851211739354786
1100000000,6,10.0,20.0,2333.333333333285,0.394814,5.633318474015613,0.9388864123359354
1100000000,7,10.0,20.0,2333.333333333271,0.337707,6.585925077063846,0.9408464395805494
1100000000,8,10.0,20.0,2333.333333333339,0.299599,7.423632922673306,0.9279541153341633
1100000000,9,10.0,20.0,2333.33333333327,0.286386,7.766137311181414,0.8629041456868237
1100000000,10,10.0,20.0,2333.333333333292,0.253767,8.764390168934494,0.8764390168934494
1100000000,11,10.0,20.0,2333.333333333318,0.234746,9.47455121706014,0.8613228379145582
1100000000,12,10.0,20.0,2333.333333333327,0.215368,10.327035585602317,0.8605862988001931
1300000000,1,10.0,20.0,2333.333333333577,2.624729,1.0,1.0
1300000000,2,10.0,20.0,2333.33333333345,1.294634,2.0273907529077713,1.0136953764538856
1300000000,3,10.0,20.0,2333.333333333191,0.865284,3.033372857928726,1.011124285976242
1300000000,4,10.0,20.0,2333.33333333329,0.648144,4.049607803204226,1.0124019508010564
1300000000,5,10.0,20.0,2333.333333333438,0.523662,5.012257906817757,1.0024515813635513
1300000000,6,10.0,20.0,2333.333333333343,0.461819,5.683458237967689,0.9472430396612815
1300000000,7,10.0,20.0,2333.333333333297,0.422402,6.213817642908888,0.8876882347012697
1300000000,8,10.0,20.0,2333.333333333284,0.369155,7.110100093456677,0.8887625116820846
1300000000,9,10.0,20.0,2333.333333333253,0.310959,8.440755855273524,0.9378617616970583
1300000000,10,10.0,20.0,2333.33333333334,0.293868,8.931659792832155,0.8931659792832155
1300000000,11,10.0,20.0,2333.333333333198,0.27314,9.609464011129823,0.8735876373754384
1300000000,12,10.0,20.0,2333.333333333359,0.249086,10.537440883871433,0.8781200736559528
1500000000,1,10.0,20.0,2333.333333333659,2.986236,1.0,1.0
1500000000,2,10.0,20.0,2333.333333333409,1.497216,1.9945258399589636,0.9972629199794818
1500000000,3,10.0,20.0,2333.333333333249,0.997968,2.9923163868981772,0.9974387956327257
1500000000,4,10.0,20.0,2333.333333333352,0.755131,3.9545933089755287,0.9886483272438822
1500000000,5,10.0,20.0,2333.333333333139,0.613134,4.870445938408244,0.9740891876816488
1500000000,6,10.0,20.0,2333.333333333259,0.528171,5.653918901264932,0.9423198168774887
1500000000,7,10.0,20.0,2333.333333333376,0.455003,6.563112770685028,0.9375875386692897
1500000000,8,10.0,20.0,2333.333333333379,0.427355,6.987717471423056,0.873464683927882
1500000000,9,10.0,20.0,2333.333333333389,0.374219,7.979915504023045,0.8866572782247828
1500000000,10,10.0,20.0,2333.333333333334,0.347955,8.582247704444539,0.8582247704444539
1500000000,11,10.0,20.0,2333.3333333334,0.316224,9.44341985428051,0.8584927140255009
1500000000,12,10.0,20.0,2333.333333333282,0.297308,10.044250406985348,0.837020867248779
1700000000,1,10.0,20.0,2333.333333333232,3.419884,1.0,1.0
1700000000,2,10.0,20.0,2333.333333333341,1.712659,1.9968271559020214,0.9984135779510107
1700000000,3,10.0,20.0,2333.333333333527,1.140914,2.9974949908582067,0.9991649969527355
1700000000,4,10.0,20.0,2333.333333333435,0.85726,3.989319459673845,0.9973298649184612
1700000000,5,10.0,20.0,2333.333333333378,0.693251,4.933110806908321,0.9866221613816641
1700000000,6,10.0,20.0,2333.333333333428,0.659431,5.1861134826843145,0.8643522471140525
1700000000,7,10.0,20.0,2333.333333333345,0.515405,6.635333378605175,0.9479047683721679
1700000000,8,10.0,20.0,2333.333333333246,0.478907,7.141019028746708,0.8926273785933385
1700000000,9,10.0,20.0,2333.333333333286,0.433819,7.883204746680067,0.8759116385200074
1700000000,10,10.0,20.0,2333.333333333335,0.388611,8.80027585426043,0.8800275854260431
1700000000,11,10.0,20.0,2333.333333333367,0.361836,9.451475253982467,0.8592250230893153
1700000000,12,10.0,20.0,2333.333333333368,0.332384,10.288954943679599,0.8574129119732999
1900000000,1,10.0,20.0,2333.333333333279,3.796817,1.0,1.0
1900000000,2,10.0,20.0,2333.333333333238,2.052008,1.8502934686414478,0.9251467343207239
1900000000,3,10.0,20.0,2333.333333333208,1.267268,2.996064762938857,0.9986882543129524
1900000000,4,10.0,20.0,2333.333333333215,0.949394,3.9992005426619506,0.9998001356654876
1900000000,5,10.0,20.0,2333.333333333334,0.766898,4.950876126942566,0.9901752253885132
1900000000,6,10.0,20.0,2333.333333333232,0.669884,5.667872348048318,0.9446453913413864
1900000000,7,10.0,20.0,2333.333333333369,0.630795,6.019098122210861,0.8598711603158372
1900000000,8,10.0,20.0,2333.333333333344,0.549368,6.911245285491693,0.8639056606864616
1900000000,9,10.0,20.0,2333.333333333277,0.471848,8.046695122157983,0.8940772357953315
1900000000,10,10.0,20.0,2333.333333333252,0.448149,8.472220176771565,0.8472220176771564
1900000000,11,10.0,20.0,2333.33333333338,0.410147,9.25721021975048,0.8415645654318618
1900000000,12,10.0,20.0,2333.333333333268,0.374249,10.145162712525618,0.8454302260438015
