k,r,b,t,r_frac,b_frac,t_frac
15400,4432,6143,4825,0.28779221,0.39889610,0.31331169
15500,4462,6184,4854,0.28787097,0.39896774,0.31316129
15600,4491,6220,4889,0.28788462,0.39871795,0.31339744
15700,4522,6259,4919,0.28802548,0.39866242,0.31331210
15800,4551,6300,4949,0.28803797,0.39873418,0.31322785
15900,4579,6336,4985,0.28798742,0.39849057,0.31352201
16000,4601,6379,5020,0.28756250,0.39868750,0.31375000
16100,4631,6422,5047,0.28763975,0.39888199,0.31347826
16200,4670,6456,5074,0.28827160,0.39851852,0.31320988
16300,4701,6496,5103,0.28840491,0.39852761,0.31306748
16400,4744,6527,5129,0.28926829,0.39798780,0.31274390
16500,4772,6567,5161,0.28921212,0.39800000,0.31278788
16600,4793,6615,5192,0.28873494,0.39849398,0.31277108
16700,4825,6654,5221,0.28892216,0.39844311,0.31263473
16800,4848,6693,5259,0.28857143,0.39839286,0.31303571
16900,4879,6733,5288,0.28869822,0.39840237,0.31289941
17000,4909,6768,5323,0.28876471,0.39811765,0.31311765
17100,4935,6804,5361,0.28859649,0.39789474,0.31350877
17200,4955,6852,5393,0.28808140,0.39837209,0.31354651
17300,4986,6892,5422,0.28820809,0.39838150,0.31341040
17400,5021,6929,5450,0.28856322,0.39821839,0.31321839
17500,5051,6965,5484,0.28862857,0.39800000,0.31337143
17600,5083,7004,5513,0.28880682,0.39795455,0.31323864
17700,5113,7043,5544,0.28887006,0.39790960,0.31322034
17800,5141,7087,5572,0.28882022,0.39814607,0.31303371
17900,5168,7136,5596,0.28871508,0.39865922,0.31262570
18000,5189,7184,5627,0.28827778,0.39911111,0.31261111
18100,5211,7223,5666,0.28790055,0.39906077,0.31303867
18200,5236,7265,5699,0.28769231,0.39917582,0.31313187
18300,5264,7301,5735,0.28765027,0.39896175,0.31338798
18400,5298,7337,5765,0.28793478,0.39875000,0.31331522
18500,5324,7379,5797,0.28778378,0.39886486,0.31335135
18600,5354,7419,5827,0.28784946,0.39887097,0.31327957
18700,5389,7454,5857,0.28818182,0.39860963,0.31320856
18800,5418,7495,5887,0.28819149,0.39867021,0.31313830
18900,5446,7532,5922,0.28814815,0.39851852,0.31333333
19000,5478,7568,5954,0.28831579,0.39831579,0.31336842
19100,5503,7611,5986,0.28811518,0.39848168,0.31340314
19200,5529,7659,6012,0.28796875,0.39890625,0.31312500
19300,5565,7692,6043,0.28834197,0.39854922,0.31310881
19400,5585,7745,6070,0.28788660,0.39922680,0.31288660
19500,5623,7785,6092,0.28835897,0.39923077,0.31241026
19600,5654,7832,6114,0.28846939,0.39959184,0.31193878
19700,5683,7877,6140,0.28847716,0.39984772,0.31167513
19800,5713,7913,6174,0.28853535,0.39964646,0.31181818
19900,5740,7952,6208,0.28844221,0.39959799,0.31195980
20000,5756,7994,6250,0.28780000,0.39970000,0.31250000
20100,5783,8036,6281,0.28771144,0.39980100,0.31248756
20200,5808,8072,6320,0.28752475,0.39960396,0.31287129
20300,5840,8110,6350,0.28768473,0.39950739,0.31280788
20400,5871,8144,6385,0.28779412,0.39921569,0.31299020
20500,5900,8185,6415,0.28780488,0.39926829,0.31292683
20600,5930,8228,6442,0.28786408,0.39941748,0.31271845
20700,5955,8264,6481,0.28768116,0.39922705,0.31309179
20800,5986,8308,6506,0.28778846,0.39942308,0.31278846
20900,6006,8347,6547,0.28736842,0.39937799,0.31325359
21000,6031,8384,6585,0.28719048,0.39923810,0.31357143
21100,6068,8420,6612,0.28758294,0.39905213,0.31336493
21200,6089,8466,6645,0.28721698,0.39933962,0.31344340
21300,6115,8503,6682,0.28708920,0.39920188,0.31370892
21400,6141,8545,6714,0.28696262,0.39929907,0.31373832
21500,6168,8578,6754,0.28688372,0.39897674,0.31413953
21600,6203,8620,6777,0.28717593,0.39907407,0.31375000
21700,6230,8667,6803,0.28709677,0.39940092,0.31350230
21800,6268,8709,6823,0.28752294,0.39949541,0.31298165
21900,6296,8744,6860,0.28748858,0.39926941,0.31324201
22000,6330,8784,6886,0.28772727,0.39927273,0.31300000
22100,6360,8823,6917,0.28778281,0.39923077,0.31298643
22200,6383,8858,6959,0.28752252,0.39900901,0.31346847
22300,6409,8905,6986,0.28739910,0.39932735,0.31327354
22400,6435,8949,7016,0.28727679,0.39950893,0.31321429
22500,6464,8984,7052,0.28728889,0.39928889,0.31342222
22600,6494,9017,7089,0.28734513,0.39898230,0.31367257
22700,6525,9055,7120,0.28744493,0.39889868,0.31365639
22800,6558,9089,7153,0.28763158,0.39864035,0.31372807
